user_id,problem_id
jeahun00,1111
jeahun00,1707
jeahun00,3055
jeahun00,12851
jeahun00,14226
jeahun00,1229
jeahun00,1577
jeahun00,7576
jeahun00,13023
jeahun00,14500
jeahun00,1309
jeahun00,1697
jeahun00,1790
jeahun00,2156
jeahun00,2178
jeahun00,2667
jeahun00,9465
jeahun00,10844
jeahun00,11052
jeahun00,11057
jeahun00,16194
jeahun00,1012
jeahun00,1260
jeahun00,1541
jeahun00,1654
jeahun00,2805
jeahun00,11724
jeahun00,15988
jeahun00,15990
jeahun00,18111
jeahun00,1003
jeahun00,1463
jeahun00,1966
jeahun00,2108
jeahun00,2193
jeahun00,2503
jeahun00,2579
jeahun00,2606
jeahun00,8394
jeahun00,9095
jeahun00,9461
jeahun00,10973
jeahun00,11726
jeahun00,11727
jeahun00,14607
jeahun00,1764
jeahun00,1920
jeahun00,2670
jeahun00,2839
jeahun00,4949
jeahun00,9012
jeahun00,10773
jeahun00,10816
jeahun00,17419
jeahun00,17626
jeahun00,1181
jeahun00,7568
jeahun00,10709
jeahun00,1111
jeahun00,1707
jeahun00,3055
jeahun00,12851
jeahun00,14226
jeahun00,1229
jeahun00,1577
jeahun00,7576
jeahun00,13023
jeahun00,14500
jeahun00,1309
jeahun00,1697
jeahun00,1790
jeahun00,2156
jeahun00,2178
jeahun00,2667
jeahun00,9465
jeahun00,10844
jeahun00,11052
jeahun00,11057
jeahun00,16194
jeahun00,1012
jeahun00,1260
jeahun00,1541
jeahun00,1654
jeahun00,2805
jeahun00,11724
jeahun00,15988
jeahun00,15990
jeahun00,18111
jeahun00,1003
jeahun00,1463
jeahun00,1966
jeahun00,2108
jeahun00,2193
jeahun00,2503
jeahun00,2579
jeahun00,2606
jeahun00,8394
jeahun00,9095
jeahun00,9461
jeahun00,10973
jeahun00,11726
jeahun00,11727
jeahun00,14607
jeahun00,1764
jeahun00,1920
jeahun00,2670
jeahun00,2839
jeahun00,4949
jeahun00,9012
jeahun00,10773
jeahun00,10816
jeahun00,17419
jeahun00,17626
jeahun00,1181
jeahun00,7568
jeahun00,10709
jeahun00,11723
jeahun00,11866
jeahun00,1259
jeahun00,2775
jeahun00,11050
jeahun00,1009
jeahun00,2747
jeahun00,15829
jeahun00,21756
jeahun00,8393
jeahun00,10250
jeahun00,10818
jeahun00,2439
jeahun00,15552
jeahun00,1000
jeahun00,1001
jeahun00,1008
jeahun00,2557
jeahun00,10171
jeahun00,10172
jeahun00,10430
jeahun00,10952
kimalive,1111
kimalive,1707
kimalive,3055
kimalive,12851
kimalive,14226
kimalive,1229
kimalive,1577
kimalive,7576
kimalive,13023
kimalive,14500
kimalive,1309
kimalive,1697
kimalive,1790
kimalive,2156
kimalive,2178
kimalive,2667
kimalive,9465
kimalive,10844
kimalive,11052
kimalive,11057
kimalive,16194
kimalive,1012
kimalive,1260
kimalive,1541
kimalive,1654
kimalive,2805
kimalive,11724
kimalive,15988
kimalive,15990
kimalive,18111
kimalive,1003
kimalive,1463
kimalive,1966
kimalive,2108
kimalive,2193
kimalive,2503
kimalive,2579
kimalive,2606
kimalive,8394
kimalive,9095
kimalive,9461
kimalive,10973
